ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
382907,Tesco Žemle na hamburger 6 x 53 g (318 g),tesco zemle na hamburger 6 x 53 g (318 g),1.83,0,gram,318.0,17,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382908,Tesco Žemle na hamburger so sezamovými semenami 6 x 53 g (318 g),tesco zemle na hamburger so sezamovymi semenami 6 x 53 g (318 g),1.83,0,gram,318.0,32,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382909,Tesco Pšeničné bagety 4 ks 300 g,tesco psenicne bagety 4 ks 300 g,1.88,0,gram,300.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382910,Tesco Celozrnné bagetky 360 g,tesco celozrnne bagetky 360 g,2.43,0,gram,360.0,7,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382911,Tesco Bagety na hotdogy 4 ks 240 g,tesco bagety na hotdogy 4 ks 240 g,1.76,0,gram,240.0,11,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382912,Tesco Grissini 80 g,tesco grissini 80 g,0.75,0,gram,80.0,42,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382913,Tesco Hamburgerová žemľa so sezamom a čiernou rascou 80 g,tesco hamburgerova zemla so sezamom a ciernou rascou 80 g,0.64,0,gram,80.0,145,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382914,PAGAC SYROVY 72g,pagac syrovy 72g,0.64,0,gram,72.0,390,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382915,PAGAC KUKURICNY 42g,pagac kukuricny 42g,0.5,0,gram,42.0,305,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382916,Mini Toscana  s olivami a cili 100 g,mini toscana  s olivami a cili 100 g,1.39,0,gram,100.0,217,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382917,Syrový slimák 85 g,syrovy slimak 85 g,1.1,0,gram,85.0,322,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382918,XL S PIZZOVOU NAPLNOU 72g,xl s pizzovou naplnou 72g,0.73,0,gram,72.0,371,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382919,BAGETA DREVORUBACSKA 150g,bageta drevorubacska 150g,1.17,0,gram,150.0,118,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382920,Adano Proteínové paličky 100 g,adano proteinove palicky 100 g,2.1,0,gram,100.0,30,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382921,Tina Bryndzové dukáty slané 55 g,tina bryndzove dukaty slane 55 g,1.1,0,gram,55.0,40,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382922,Tesco Finest Rustikálna bageta z kamennej pece 260 g,tesco finest rustikalna bageta z kamennej pece 260 g,1.72,0,gram,260.0,94,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382923,Tesco Mini pizza šunková s kukuricou 75 g,tesco mini pizza sunkova s kukuricou 75 g,0.93,0,gram,75.0,386,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382924,Bageta malá svetlá 50 g,bageta mala svetla 50 g,0.16,0,gram,50.0,514,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382925,Maslový croissant 52 g,maslovy croissant 52 g,0.5,0,gram,52.0,841,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382926,Bageta francúzska 110 g,bageta francuzska 110 g,0.46,0,gram,110.0,430,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382927,OSKVARKOVY PAGAC 71g,oskvarkovy pagac 71g,0.49,0,gram,71.0,393,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382928,Tesco Multicereálny croissant s maslom 65 g,tesco multicerealny croissant s maslom 65 g,0.58,0,gram,65.0,256,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382929,Donut s kakaovou polevou 55 g,donut s kakaovou polevou 55 g,0.51,0,gram,55.0,100,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382930,Čokorolka s maslom 70 g,cokorolka s maslom 70 g,0.52,0,gram,70.0,130,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382931,7 Days Croissant s kakaovou náplňou 5 x 37 g,7 days croissant s kakaovou naplnou 5 x 37 g,2.83,0,gram,37.0,17,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382932,7 Days Croissant s lieskovoorieškovou náplňou 60 g,7 days croissant s lieskovoorieskovou naplnou 60 g,0.93,0,gram,60.0,44,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382933,7 Days Croissant s jahodovou náplňou 60 g,7 days croissant s jahodovou naplnou 60 g,0.93,0,gram,60.0,50,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
