38,Rajčiaky koktejlové Saluoso 300g,3.69 €,0,1
39,Clever Rajčiaky cherry 250g,1.69 €,0,1
40,Rajčiaky cherry sladké Adorion 200g,3.69 €,0,1
41,Paprika žltá voľná kus,~1.30 €,1,1
42,Paprika červená voľná kus,~0.89 €,1,1
43,Petržlen praný balený 350g,2.49 €,0,1
44,Rajčiaky Plum 500g,2.39 €,0,1
45,Zeler praný voľný,~1.27 €,1,1
46,Paprika zeleninová voľná kus,~0.33 €,1,1
47,Sedáno zeler stopkatý kus,1.19 €1.69,0,1
48,BILLA Easy Sezónny šalát miešaný 180g,1.09 €1.69,0,1
49,BILLA Easy De Luxe mix šalát 200g,1.09 €1.69,0,1
50,BILLA Easy Rukola 100g,1.69 €,0,1
51,BILLA Easy Šalát valeriána poľná 100g,1.69 €,0,1
52,BILLA Easy Špenát mladý 130g,1.69 €,0,1
53,BILLA BIO Rukola 100g,1.69 €,0,1
54,BILLA BIO Mix šalát 100g,1.69 €,0,1
55,Pór voľný kus,~1.05 €,1,1
56,Polievková zmes 500g,1.69 €,0,1
57,Zelenina polievková 750g,2.29 €,0,1
58,Šampiňóny balené 500g,1.99 €,0,1
59,Kel voľný,~1.86 €,1,1
60,Kel ružIčkový 350g,1.39 €,0,1
61,Kapusta pekinská voľná,~2.08 €,1,1
62,Kapusta kvasená reháková 1kg,1.59 €,0,1
63,HORTI Kvasená kapusta v slanom náleve 1000 g,1.59 €,0,1
64,Čalamáda 850g,1.89 €,0,1
65,Šalát ľadový kus,1.29 €1.79,0,1
66,Chren čerstvý strúhaný 100g,2.49 €,0,1
67,BILLA Easy Cvikla červená varená 500g,1.49 €,0,1
68,Cvikla Praná 1kg,1.69 €,0,1
69,Zázvor voľný kus,6.90 €/kg,0,1
70,Rajčiaky cherry strapcové 500g,2.89 €,0,1
71,Cuketa voľná kus,~1.29 €,1,1
72,Reďkovka červená zväzok,0.89 €,0,1
73,Cibuľka lahôdková zväzok,0.89 €,0,1
74,Šampiňóny Krémové 200G,1.49 €,0,1
75,Kaleráb s vňaťou kus,0.99 €,0,1
76,Tekvica Maslová Kus Slovenská Farma,1.89 €,0,1
77,Tekvica hokkaido kus,2.29 €,0,1
78,BILLA Easy Mäta 30g,1.29 €,0,1
79,BILLA Easy Bazalka 30g,1.29 €,0,1
80,BILLA Jadrá kešu orechov 200g,3.99 €,0,1
81,BILLA Jadrá vlašských orechov 200g,4.29 €,0,1
82,BILLA Jadrá lieskových orechov 200g,4.99 €,0,1
83,BILLA Jadrá sladkých mandlí 200g,3.99 €,0,1
84,BILLA Jadrá sladkých mandlí blanšírované 200g,4.99 €,0,1
85,Orechovo hrozienková zmes 200g,2.39 €,0,1
86,Ovocno Orechová zmes 200g,2.29 €,0,1
87,Tekvicové jadrá pražené solené nel.150g,1.49 €,0,1
88,BILLA Hrozienka 500g,2.69 €,0,1
89,Sézam 150g,1.09 €,0,1
90,Slivky sušené vykôstkované 300g,3.09 €,0,1
