692,Schär Salinis praclíky bezgluténové 60 g,1.59,0,1
693,Schär Wraps pečivo bežné bezgluténové 160 g,2.99,0,1
694,Schär Orangino jemné pečivo bezgluténové polomáčané v čokoláde s náplňou s príchuťou pomaranča 150 g,2.39,0,1
695,Schär Choco chip cookie bezlepkové 100g,1.99,0,1
696,Schär Wafers al cacao bezlepkové 125g,2.39,0,1
697,Croissant s maslom 54g,0.49,0,1
698,Croissant zakrivený 85g,0.79,0,1
699,Croissant S Liesk.-Orieš.Nápl.A Čoko.75G,0.79,0,1
700,Donut s čokoládovou príchuťou 55g,0.45,0,1
701,Donut škoricový s jablkovou náplňou 65g,0.65,0,1
702,Donut s čokoládovou polevou Milka 55g,0.99,0,1
703,Mini šiška s nugátom 25g,0.45,0,1
704,Šiška s marhuľovou náplňou 70g,0.69,0,1
705,Taštička tvaroh - marhuľa 85g,0.45,0,1
706,MARHUĽ.TAŠTIČKA LA LORRA. 85G,0.56,0,1
707,Zákusok puding a ríbezle 85g,0.75,0,1
708,Hrebeň so slivkovým lekvárom 85g,0.65,0,1
709,Hrebeň mak - med 68g,0.59,0,1
710,Mriežka krémová s granátovým jablkom 85g,0.79,0,1
711,Koláč mix 75g,0.79,0,1
712,BILLA Závin s makovou náplňou 400g,2.69,0,1
713,BILLA Závin s orechovou náplňou 400g,2.69,0,1
714,BILLA Závin s tvarohovou náplňou 400g,2.69,0,1
715,BILLA Závin s kakaovou náplňou 400g,2.69,0,1
716,BILLA Premium Závin s makovou náplňou 300g,2.89,0,1
717,BILLA Premium Závin s kakaovou náplňou 300g,2.89,0,1
718,BILLA Premium Bratislavský Rožok Makový 200g,3.09,0,1
719,Ölz Závin s makovou náplňou 350 g,2.72,0,1
720,Ölz Vianočka 500 g,3.29,0,1
743,BILLA vianočka sypaná mandľami 350g,2.29,0,1
744,ÖLZ Mliečne buchtičky s čokoládou 240g,3.49,0,1
745,ÖLZ Mliečne žemličky 400g,2.99,0,1
746,Ölz Maslové mini croissanty 250 g,3.49,0,1
747,Vitacelia Buchty bezgluténové s náplňou tvarohovou 2 x 90 g (180 g),4.19,0,1
748,Vitacelia Koláče bezgluténové s náplňou marhuľovou 2 x 50 g (100 g),2.49,0,1
749,Eclairs 250g,5.99,0,1
750,Jagdfeld Gofri vafle vaječné 125 g,1.29,0,1
751,BILLA BIO Špaldové vaječné vafle 165g,2.19,0,1
752,Brownies tmavá čokoláda 210 g,2.89,0,1
753,TatraMelky Burizony v lahodnom mliečnom karameli 150 g,1.69,0,1
754,7 Days Croissant s kakaovou náplňou 60 g,0.79,0,1
755,7 Days Croissant s lieskovoorieškovou náplňou 60 g,0.59,0,1
756,7 Days Croissant s kakaovou náplňou 5 x 37 g (185 g),2.39,0,1
757,Croissant Daily s kakovou náplňou 50g,0.59,0,1
758,Croissant Daily s jahodovou náplňou 50g,0.59,0,1
759,Clever croissant s čokoládovou náplňou 65g,0.40,0,1
760,Croissant Grana s kakaovou náplňou 60g,0.65,0,1
761,Croissant Grana s vanilkovou a čučoriedkovou náplňou 60g,0.65,0,1
762,Croissant Grana s vanilkovou a kakaovou náplňou 60g,0.65,0,1
763,Bauli Kváskový croissant s marhuľovou náplňou 50 g,0.75,0,1
764,Bauli Croissant čokoládový 6x50g 300g,2.39,0,1
765,Bauli Croissant vanilkový 6x50g 300g,2.39,0,1
780,Slatinská Tradičná parená knedľa 400g,1.89,0,1
781,BILLA Parená knedľa 500g,1.45,0,1
782,Strúhanka 500g,2.19,0,1
783,BILLA Kukurična struhanka 200g,1.29,0,1
784,Panko Strúhanka Anavar 200G,1.59,0,1
785,Strúhanka vitaflóra paniero 750g,1.15,0,1
786,BILLA Kukuričný chlebík mliečna čokoláda 90g,1.19,0,1
787,Racio Polomáčané ryžové chlebíčky jogurtová poleva 100 g,1.29,0,1
