name,price,approximation,market_ID
Bambino Toast & Burger čedar 130 g,1.99 €,0,1
Bambino Originál 100 g,1.59 €,0,1
Bambino Originál Maxi 140 g,1.99 €,0,1
Bambino Originál 8 ks 120 g,1.85 €,0,1
Karička črievko Tavený syr 100 g,1.59 €,0,1
Karička črievko Maxi tavený syr 140 g,1.39 €,0,1
Karička črievko s ementálom 100 g,1.59 €,0,1
Karička črievko Rodinné balenie 3 x 100 g,3.99 €,0,1
KARIČKA MAXI 240g,3.39 €,0,1
Karička Maxi so šunkou 240 g,3.39 €,0,1
Karička Klasik 125 g,1.59 €,0,1
Karička s pažítkou 125 g,1.59 €,0,1
Syrokrém Klasik 80 g,0.99 €,0,1
Syrokrém S pažítkou 80 g,0.99 €,0,1
Pravý Syrokrém Smotanela XXL 4 ks 200 g,1.99 €,0,1
Pravý Syrokrém Smotanela 3 ks 150 g,2.19 €,0,1
Kiri Roztierateľný tavený syr 12 ks 200 g,2.99 €,0,1
NIVA Roztierateľný tavený syr 100 g,1.19 €,0,1
Clever Jemný tavený syr 3x50g,1.19 €,0,1
Veselá Kráva Lahodná tavený syr 120 g,1.59 €,0,1
Veselá Kráva Sýr a Křup Lahodný syr & chrumkavé tyčinky 4 x 35 g (140 g),2.79 €,0,1
Veselá Kráva Sýr a Křup Lahodný syr & chrumkavé tyčinky 35 g,0.99 €,0,1
Lunex Klasik tavený syr 90 g,0.89 €,0,1
Schär Pain Campagnard chlieb bezgluténový krájaný 240 g,3.99 €,0,1
Schär Focaccia pečivo bežné bezgluténové 200 g,4.29 €,0,1
Schär Ciabatta pečivo bežné bezgluténové 200 g,3.89 €,0,1
Schär Salinis praclíky bezgluténové 60 g,1.55 €,0,1
Schär Wraps pečivo bežné bezgluténové 160 g,3.99 €,0,1
Schär Orangino jemné pečivo bezgluténové polomáčané v čokoláde s náplňou s príchuťou pomaranča 150 g,2.39 €,0,1
Schär Choco chip cookie bezlepkové 100g,1.99 €,0,1
Schär Wafers al cacao bezlepkové 125g,2.39 €,0,1
Croissant s maslom 54g,0.49 €,0,1
Croissant zakrivený 85g,0.99 €,0,1
Donut s čokoládovou príchuťou 55g,0.45 €,0,1
Donut škoricový s jablkovou náplňou 65g,0.65 €,0,1
Donut s čokoládovou polevou Milka 55g,0.99 €,0,1
Mini šiška s nugátom 25g,0.45 €,0,1
